pcode,province,pvalue,catid,groupid,year,,,,,,,
18,Xaisomboun,48,2,2,2017,,,,,,,
14,Saravan,11800,2,2,2017,,,,,,,
15,Xekong,830,2,2,2017,,,,,,,
16,Champassak,9345,2,2,2017,,,,,,,
17,Attapue,442,2,2,2017,,,,,,,
2,Phongsaly,864,3,2,2017,,,,,,,
3,Louangnamtha,6434,3,2,2017,,,,,,,
4,Oudomxai,15826,3,2,2017,,,,,,,
5,Bokeo,0,3,2,2017,,,,,,,
6,Louangprabang,1357,3,2,2017,,,,,,,
7,Houaphan,9779,3,2,2017,,,,,,,
8,Xayaboury,0,3,2,2017,,,,,,,
1,Vientiane Capital,0,3,2,2017,,,,,,,
9,Xiengkhouang,7620,3,2,2017,,,,,,,
10,Vienitiane,0,3,2,2017,,,,,,,
11,Borlikhamxay,699,3,2,2017,,,,,,,
12,Khammouane,485,3,2,2017,,,,,,,
13,Savannakhet,0,3,2,2017,,,,,,,
18,Xaisomboun,0,3,2,2017,,,,,,,
14,Saravan,0,3,2,2017,,,,,,,
15,Xekong,0,3,2,2017,,,,,,,
16,Champassak,0,3,2,2017,,,,,,,
17,Attapue,1686,3,2,2017,,,,,,,
2,Phongsaly,10984,4,2,2017,,,,,,,
3,Louangnamtha,0,4,2,2017,,,,,,,
4,Oudomxai,0,4,2,2017,,,,,,,
5,Bokeo,7209,4,2,2017,,,,,,,
6,Louangprabang,23278,4,2,2017,,,,,,,
7,Houaphan,4690,4,2,2017,,,,,,,
8,Xayaboury,11101,4,2,2017,,,,,,,
1,Vientiane Capital,0,4,2,2017,,,,,,,
9,Xiengkhouang,0,4,2,2017,,,,,,,
10,Vienitiane,0,4,2,2017,,,,,,,
11,Borlikhamxay,1474,4,2,2017,,,,,,,
12,Khammouane,0,4,2,2017,,,,,,,
13,Savannakhet,0,4,2,2017,,,,,,,
18,Xaisomboun,3130,4,2,2017,,,,,,,
14,Saravan,0,4,2,2017,,,,,,,
15,Xekong,2094,4,2,2017,,,,,,,
16,Champassak,0,4,2,2017,,,,,,,
17,Attapue,0,4,2,2017,,,,,,,
2,Phongsaly,0,5,2,2017,,,,,,,
3,Louangnamtha,0,5,2,2017,,,,,,,
4,Oudomxai,0,5,2,2017,,,,,,,
5,Bokeo,0,5,2,2017,,,,,,,
6,Louangprabang,0,5,2,2017,,,,,,,
7,Houaphan,0,5,2,2017,,,,,,,
8,Xayaboury,0,5,2,2017,,,,,,,
1,Vientiane Capital,0,5,2,2017,,,,,,,
9,Xiengkhouang,0,5,2,2017,,,,,,,
10,Vienitiane,0,5,2,2017,,,,,,,
11,Borlikhamxay,90,5,2,2017,,,,,,,
12,Khammouane,0,5,2,2017,,,,,,,
13,Savannakhet,0,5,2,2017,,,,,,,
18,Xaisomboun,0,5,2,2017,,,,,,,
14,Saravan,0,5,2,2017,,,,,,,
15,Xekong,0,5,2,2017,,,,,,,
16,Champassak,0,5,2,2017,,,,,,,
17,Attapue,0,5,2,2017,,,,,,,
2,Phongsaly,37421,1,3,2017,,,,,,,
3,Louangnamtha,38315,1,3,2017,,,,,,,
4,Oudomxai,70950,1,3,2017,,,,,,,
5,Bokeo,71550,1,3,2017,,,,,,,
6,Louangprabang,65090,1,3,2017,,,,,,,
7,Houaphan,61520,1,3,2017,,,,,,,
8,Xayaboury,165800,1,3,2017,,,,,,,
1,Vientiane Capital,236550,1,3,2017,,,,,,,
9,Xiengkhouang,87415,1,3,2017,,,,,,,
10,Vienitiane,257000,1,3,2017,,,,,,,
11,Borlikhamxay,148515,1,3,2017,,,,,,,
12,Khammouane,334870,1,3,2017,,,,,,,
13,Savannakhet,846375,1,3,2017,,,,,,,
18,Xaisomboun,25205,1,3,2017,,,,,,,
14,Saravan,311289,1,3,2017,,,,,,,
15,Xekong,44715,1,3,2017,,,,,,,
16,Champassak,475970,1,3,2017,,,,,,,
17,Attapue,69280,1,3,2017,,,,,,,
2,Phongsaly,22,2,3,2017,,,,,,,
3,Louangnamtha,1290,2,3,2017,,,,,,,
4,Oudomxai,870,2,3,2017,,,,,,,
5,Bokeo,11470,2,3,2017,,,,,,,
6,Louangprabang,6545,2,3,2017,,,,,,,
7,Houaphan,7385,2,3,2017,,,,,,,
8,Xayaboury,10365,2,3,2017,,,,,,,
1,Vientiane Capital,77200,2,3,2017,,,,,,,
9,Xiengkhouang,0,2,3,2017,,,,,,,
10,Vienitiane,40250,2,3,2017,,,,,,,
11,Borlikhamxay,7950,2,3,2017,,,,,,,
12,Khammouane,42650,2,3,2017,,,,,,,
13,Savannakhet,148023,2,3,2017,,,,,,,
18,Xaisomboun,190,2,3,2017,,,,,,,
14,Saravan,62350,2,3,2017,,,,,,,
15,Xekong,4200,2,3,2017,,,,,,,
16,Champassak,51250,2,3,2017,,,,,,,
17,Attapue,2245,2,3,2017,,,,,,,
2,Phongsaly,1622,3,3,2017,,,,,,,
3,Louangnamtha,12208,3,3,2017,,,,,,,
4,Oudomxai,29236,3,3,2017,,,,,,,
5,Bokeo,0,3,3,2017,,,,,,,
6,Louangprabang,2800,3,3,2017,,,,,,,
7,Houaphan,26969,3,3,2017,,,,,,,
8,Xayaboury,0,3,3,2017,,,,,,,
1,Vientiane Capital,0,3,3,2017,,,,,,,
9,Xiengkhouang,15630,3,3,2017,,,,,,,
10,Vienitiane,0,3,3,2017,,,,,,,
11,Borlikhamxay,1365,3,3,2017,,,,,,,
12,Khammouane,970,3,3,2017,,,,,,,
13,Savannakhet,0,3,3,2017,,,,,,,
18,Xaisomboun,0,3,3,2017,,,,,,,
14,Saravan,0,3,3,2017,,,,,,,
15,Xekong,0,3,3,2017,,,,,,,
16,Champassak,0,3,3,2017,,,,,,,
17,Attapue,2850,3,3,2017,,,,,,,
2,Phongsaly,21341,4,3,2017,,,,,,,
3,Louangnamtha,0,4,3,2017,,,,,,,
4,Oudomxai,0,4,3,2017,,,,,,,
5,Bokeo,13773,4,3,2017,,,,,,,
6,Louangprabang,37276,4,3,2017,,,,,,,
7,Houaphan,15367,4,3,2017,,,,,,,
8,Xayaboury,23080,4,3,2017,,,,,,,
1,Vientiane Capital,0,4,3,2017,,,,,,,
9,Xiengkhouang,0,4,3,2017,,,,,,,
10,Vienitiane,0,4,3,2017,,,,,,,
11,Borlikhamxay,2948,4,3,2017,,,,,,,
12,Khammouane,0,4,3,2017,,,,,,,
13,Savannakhet,0,4,3,2017,,,,,,,
18,Xaisomboun,6285,4,3,2017,,,,,,,
14,Saravan,0,4,3,2017,,,,,,,
15,Xekong,3794,4,3,2017,,,,,,,
16,Champassak,0,4,3,2017,,,,,,,
17,Attapue,0,4,3,2017,,,,,,,
2,Phongsaly,0,5,3,2017,,,,,,,
3,Louangnamtha,0,5,3,2017,,,,,,,
4,Oudomxai,0,5,3,2017,,,,,,,
5,Bokeo,0,5,3,2017,,,,,,,
6,Louangprabang,0,5,3,2017,,,,,,,
7,Houaphan,0,5,3,2017,,,,,,,
8,Xayaboury,0,5,3,2017,,,,,,,
1,Vientiane Capital,0,5,3,2017,,,,,,,
9,Xiengkhouang,0,5,3,2017,,,,,,,
10,Vienitiane,0,5,3,2017,,,,,,,
11,Borlikhamxay,180,5,3,2017,,,,,,,
12,Khammouane,0,5,3,2017,,,,,,,
13,Savannakhet,0,5,3,2017,,,,,,,
18,Xaisomboun,0,5,3,2017,,,,,,,
14,Saravan,0,5,3,2017,,,,,,,
15,Xekong,0,5,3,2017,,,,,,,
16,Champassak,0,5,3,2017,,,,,,,
17,Attapue,0,5,3,2017,,,,,,,
