pcode,province,pvalue,catid,groupid,year,,,,,,,,
8,Xayaboury,310,7,1,2017,,,,,,,,
1,Vientiane Capital,275,7,1,2017,,,,,,,,
9,Xiengkhouang,45,7,1,2017,,,,,,,,
10,Vienitiane,360,7,1,2017,,,,,,,,
11,Borlikhamxay,50,7,1,2017,,,,,,,,
12,Khammouane,0,7,1,2017,,,,,,,,
13,Savannakhet,0,7,1,2017,,,,,,,,
18,Xaisomboun,0,7,1,2017,,,,,,,,
14,Saravan,0,7,1,2017,,,,,,,,
15,Xekong,5,7,1,2017,,,,,,,,
16,Champassak,725,7,1,2017,,,,,,,,
17,Attapue,25,7,1,2017,,,,,,,,
2,Phongsaly,1360,8,1,2017,,,,,,,,
3,Louangnamtha,145,8,1,2017,,,,,,,,
4,Oudomxai,1520,8,1,2017,,,,,,,,
5,Bokeo,415,8,1,2017,,,,,,,,
6,Louangprabang,1050,8,1,2017,,,,,,,,
7,Houaphan,335,8,1,2017,,,,,,,,
8,Xayaboury,4440,8,1,2017,,,,,,,,
1,Vientiane Capital,155,8,1,2017,,,,,,,,
9,Xiengkhouang,405,8,1,2017,,,,,,,,
10,Vienitiane,1165,8,1,2017,,,,,,,,
11,Borlikhamxay,1205,8,1,2017,,,,,,,,
12,Khammouane,240,8,1,2017,,,,,,,,
13,Savannakhet,1820,8,1,2017,,,,,,,,
18,Xaisomboun,35,8,1,2017,,,,,,,,
14,Saravan,1070,8,1,2017,,,,,,,,
15,Xekong,645,8,1,2017,,,,,,,,
16,Champassak,2855,8,1,2017,,,,,,,,
17,Attapue,30,8,1,2017,,,,,,,,
2,Phongsaly,0,9,1,2017,,,,,,,,
3,Louangnamtha,15,9,1,2017,,,,,,,,
4,Oudomxai,0,9,1,2017,,,,,,,,
5,Bokeo,0,9,1,2017,,,,,,,,
6,Louangprabang,155,9,1,2017,,,,,,,,
7,Houaphan,0,9,1,2017,,,,,,,,
8,Xayaboury,1440,9,1,2017,,,,,,,,
1,Vientiane Capital,10,9,1,2017,,,,,,,,
9,Xiengkhouang,0,9,1,2017,,,,,,,,
10,Vienitiane,15,9,1,2017,,,,,,,,
11,Borlikhamxay,10,9,1,2017,,,,,,,,
12,Khammouane,0,9,1,2017,,,,,,,,
13,Savannakhet,0,9,1,2017,,,,,,,,
18,Xaisomboun,0,9,1,2017,,,,,,,,
14,Saravan,0,9,1,2017,,,,,,,,
15,Xekong,0,9,1,2017,,,,,,,,
16,Champassak,485,9,1,2017,,,,,,,,
17,Attapue,0,9,1,2017,,,,,,,,
2,Phongsaly,0,10,1,2017,,,,,,,,
3,Louangnamtha,55,10,1,2017,,,,,,,,
4,Oudomxai,310,10,1,2017,,,,,,,,
5,Bokeo,10,10,1,2017,,,,,,,,
6,Louangprabang,285,10,1,2017,,,,,,,,
7,Houaphan,40,10,1,2017,,,,,,,,
8,Xayaboury,350,10,1,2017,,,,,,,,
1,Vientiane Capital,105,10,1,2017,,,,,,,,
9,Xiengkhouang,150,10,1,2017,,,,,,,,
10,Vienitiane,335,10,1,2017,,,,,,,,
11,Borlikhamxay,670,10,1,2017,,,,,,,,
12,Khammouane,720,10,1,2017,,,,,,,,
13,Savannakhet,1225,10,1,2017,,,,,,,,
18,Xaisomboun,0,10,1,2017,,,,,,,,
14,Saravan,80,10,1,2017,,,,,,,,
15,Xekong,110,10,1,2017,,,,,,,,
16,Champassak,105,10,1,2017,,,,,,,,
17,Attapue,30,10,1,2017,,,,,,,,
2,Phongsaly,55,11,1,2017,,,,,,,,
3,Louangnamtha,40,11,1,2017,,,,,,,,
4,Oudomxai,115,11,1,2017,,,,,,,,
5,Bokeo,0,11,1,2017,,,,,,,,
6,Louangprabang,65,11,1,2017,,,,,,,,
7,Houaphan,150,11,1,2017,,,,,,,,
8,Xayaboury,285,11,1,2017,,,,,,,,
1,Vientiane Capital,0,11,1,2017,,,,,,,,
9,Xiengkhouang,0,11,1,2017,,,,,,,,
10,Vienitiane,0,11,1,2017,,,,,,,,
11,Borlikhamxay,0,11,1,2017,,,,,,,,
12,Khammouane,5,11,1,2017,,,,,,,,
13,Savannakhet,710,11,1,2017,,,,,,,,
18,Xaisomboun,0,11,1,2017,,,,,,,,
14,Saravan,380,11,1,2017,,,,,,,,
15,Xekong,35,11,1,2017,,,,,,,,
16,Champassak,5,11,1,2017,,,,,,,,
17,Attapue,0,11,1,2017,,,,,,,,
2,Phongsaly,1425,12,1,2017,,,,,,,,
3,Louangnamtha,3095,12,1,2017,,,,,,,,
4,Oudomxai,480,12,1,2017,,,,,,,,
5,Bokeo,0,12,1,2017,,,,,,,,
6,Louangprabang,445,12,1,2017,,,,,,,,
7,Houaphan,195,12,1,2017,,,,,,,,
8,Xayaboury,145,12,1,2017,,,,,,,,
1,Vientiane Capital,275,12,1,2017,,,,,,,,
9,Xiengkhouang,80,12,1,2017,,,,,,,,
10,Vienitiane,160,12,1,2017,,,,,,,,
11,Borlikhamxay,760,12,1,2017,,,,,,,,
12,Khammouane,570,12,1,2017,,,,,,,,
13,Savannakhet,15695,12,1,2017,,,,,,,,
18,Xaisomboun,50,12,1,2017,,,,,,,,
14,Saravan,70,12,1,2017,,,,,,,,
15,Xekong,215,12,1,2017,,,,,,,,
16,Champassak,515,12,1,2017,,,,,,,,
17,Attapue,5350,12,1,2017,,,,,,,,
2,Phongsaly,275,13,1,2017,,,,,,,,
3,Louangnamtha,190,13,1,2017,,,,,,,,
4,Oudomxai,7160,13,1,2017,,,,,,,,
5,Bokeo,3180,13,1,2017,,,,,,,,
6,Louangprabang,13495,13,1,2017,,,,,,,,
7,Houaphan,825,13,1,2017,,,,,,,,
8,Xayaboury,35980,13,1,2017,,,,,,,,
1,Vientiane Capital,210,13,1,2017,,,,,,,,
9,Xiengkhouang,0,13,1,2017,,,,,,,,
10,Vienitiane,15370,13,1,2017,,,,,,,,
11,Borlikhamxay,5,13,1,2017,,,,,,,,
12,Khammouane,20,13,1,2017,,,,,,,,
13,Savannakhet,0,13,1,2017,,,,,,,,
18,Xaisomboun,10,13,1,2017,,,,,,,,
14,Saravan,0,13,1,2017,,,,,,,,
15,Xekong,40,13,1,2017,,,,,,,,
16,Champassak,0,13,1,2017,,,,,,,,
17,Attapue,0,13,1,2017,,,,,,,,
2,Phongsaly,1280,14,1,2017,,,,,,,,
3,Louangnamtha,170,14,1,2017,,,,,,,,
4,Oudomxai,4385,14,1,2017,,,,,,,,
5,Bokeo,440,14,1,2017,,,,,,,,
6,Louangprabang,3985,14,1,2017,,,,,,,,
7,Houaphan,55,14,1,2017,,,,,,,,
8,Xayaboury,2505,14,1,2017,,,,,,,,
1,Vientiane Capital,0,14,1,2017,,,,,,,,
9,Xiengkhouang,80,14,1,2017,,,,,,,,
10,Vienitiane,30,14,1,2017,,,,,,,,
11,Borlikhamxay,35,14,1,2017,,,,,,,,
12,Khammouane,15,14,1,2017,,,,,,,,
13,Savannakhet,0,14,1,2017,,,,,,,,
18,Xaisomboun,5,14,1,2017,,,,,,,,
14,Saravan,0,14,1,2017,,,,,,,,
15,Xekong,40,14,1,2017,,,,,,,,
16,Champassak,0,14,1,2017,,,,,,,,
17,Attapue,15,14,1,2017,,,,,,,,
2,Phongsaly,535,15,1,2017,,,,,,,,
3,Louangnamtha,1570,15,1,2017,,,,,,,,
4,Oudomxai,0,15,1,2017,,,,,,,,
5,Bokeo,0,15,1,2017,,,,,,,,
6,Louangprabang,2215,15,1,2017,,,,,,,,
7,Houaphan,1380,15,1,2017,,,,,,,,
8,Xayaboury,15120,15,1,2017,,,,,,,,
1,Vientiane Capital,1215,15,1,2017,,,,,,,,
9,Xiengkhouang,1140,15,1,2017,,,,,,,,
10,Vienitiane,5250,15,1,2017,,,,,,,,
11,Borlikhamxay,7770,15,1,2017,,,,,,,,
12,Khammouane,1780,15,1,2017,,,,,,,,
13,Savannakhet,2815,15,1,2017,,,,,,,,
18,Xaisomboun,545,15,1,2017,,,,,,,,
14,Saravan,16020,15,1,2017,,,,,,,,
15,Xekong,2125,15,1,2017,,,,,,,,
16,Champassak,10585,15,1,2017,,,,,,,,
17,Attapue,865,15,1,2017,,,,,,,,
2,Phongsaly,495,16,1,2017,,,,,,,,
3,Louangnamtha,135,16,1,2017,,,,,,,,
4,Oudomxai,310,16,1,2017,,,,,,,,
5,Bokeo,0,16,1,2017,,,,,,,,
6,Louangprabang,95,16,1,2017,,,,,,,,
7,Houaphan,130,16,1,2017,,,,,,,,
8,Xayaboury,110,16,1,2017,,,,,,,,
1,Vientiane Capital,20,16,1,2017,,,,,,,,
9,Xiengkhouang,75,16,1,2017,,,,,,,,
10,Vienitiane,280,16,1,2017,,,,,,,,
11,Borlikhamxay,395,16,1,2017,,,,,,,,
12,Khammouane,295,16,1,2017,,,,,,,,
13,Savannakhet,640,16,1,2017,,,,,,,,
18,Xaisomboun,20,16,1,2017,,,,,,,,
14,Saravan,875,16,1,2017,,,,,,,,
15,Xekong,85,16,1,2017,,,,,,,,
16,Champassak,1925,16,1,2017,,,,,,,,
17,Attapue,0,16,1,2017,,,,,,,,
2,Phongsaly,15,17,1,2017,,,,,,,,
3,Louangnamtha,0,17,1,2017,,,,,,,,
4,Oudomxai,0,17,1,2017,,,,,,,,
5,Bokeo,0,17,1,2017,,,,,,,,
6,Louangprabang,0,17,1,2017,,,,,,,,
7,Houaphan,0,17,1,2017,,,,,,,,
8,Xayaboury,0,17,1,2017,,,,,,,,
1,Vientiane Capital,0,17,1,2017,,,,,,,,
9,Xiengkhouang,0,17,1,2017,,,,,,,,
10,Vienitiane,0,17,1,2017,,,,,,,,
11,Borlikhamxay,0,17,1,2017,,,,,,,,
12,Khammouane,0,17,1,2017,,,,,,,,
13,Savannakhet,0,17,1,2017,,,,,,,,
18,Xaisomboun,0,17,1,2017,,,,,,,,
14,Saravan,0,17,1,2017,,,,,,,,
15,Xekong,0,17,1,2017,,,,,,,,
16,Champassak,55,17,1,2017,,,,,,,,
17,Attapue,0,17,1,2017,,,,,,,,
2,Phongsaly,0,18,1,2017,,,,,,,,
3,Louangnamtha,60,18,1,2017,,,,,,,,
4,Oudomxai,325,18,1,2017,,,,,,,,
5,Bokeo,0,18,1,2017,,,,,,,,
6,Louangprabang,40,18,1,2017,,,,,,,,
7,Houaphan,0,18,1,2017,,,,,,,,
8,Xayaboury,30,18,1,2017,,,,,,,,
1,Vientiane Capital,140,18,1,2017,,,,,,,,
9,Xiengkhouang,0,18,1,2017,,,,,,,,
10,Vienitiane,215,18,1,2017,,,,,,,,
11,Borlikhamxay,200,18,1,2017,,,,,,,,
12,Khammouane,130,18,1,2017,,,,,,,,
13,Savannakhet,290,18,1,2017,,,,,,,,
18,Xaisomboun,5,18,1,2017,,,,,,,,
14,Saravan,0,18,1,2017,,,,,,,,
15,Xekong,0,18,1,2017,,,,,,,,
16,Champassak,0,18,1,2017,,,,,,,,
17,Attapue,0,18,1,2017,,,,,,,,
2,Phongsaly,600,19,1,2017,,,,,,,,
3,Louangnamtha,175,19,1,2017,,,,,,,,
4,Oudomxai,1310,19,1,2017,,,,,,,,
5,Bokeo,185,19,1,2017,,,,,,,,
6,Louangprabang,825,19,1,2017,,,,,,,,
7,Houaphan,250,19,1,2017,,,,,,,,
8,Xayaboury,700,19,1,2017,,,,,,,,
1,Vientiane Capital,330,19,1,2017,,,,,,,,
9,Xiengkhouang,485,19,1,2017,,,,,,,,
10,Vienitiane,650,19,1,2017,,,,,,,,
11,Borlikhamxay,340,19,1,2017,,,,,,,,
12,Khammouane,110,19,1,2017,,,,,,,,
13,Savannakhet,3170,19,1,2017,,,,,,,,
18,Xaisomboun,10,19,1,2017,,,,,,,,
14,Saravan,0,19,1,2017,,,,,,,,
15,Xekong,520,19,1,2017,,,,,,,,
16,Champassak,2370,19,1,2017,,,,,,,,
17,Attapue,50,19,1,2017,,,,,,,,
2,Phongsaly,6230,20,1,2017,,,,,,,,
3,Louangnamtha,2255,20,1,2017,,,,,,,,
4,Oudomxai,10725,20,1,2017,,,,,,,,
5,Bokeo,995,20,1,2017,,,,,,,,
6,Louangprabang,9870,20,1,2017,,,,,,,,
7,Houaphan,4850,20,1,2017,,,,,,,,
8,Xayaboury,15555,20,1,2017,,,,,,,,
1,Vientiane Capital,9285,20,1,2017,,,,,,,,
9,Xiengkhouang,4005,20,1,2017,,,,,,,,
10,Vienitiane,15410,20,1,2017,,,,,,,,
11,Borlikhamxay,8050,20,1,2017,,,,,,,,
12,Khammouane,7060,20,1,2017,,,,,,,,
13,Savannakhet,19255,20,1,2017,,,,,,,,
18,Xaisomboun,890,20,1,2017,,,,,,,,
14,Saravan,10180,20,1,2017,,,,,,,,
15,Xekong,6195,20,1,2017,,,,,,,,
16,Champassak,38855,20,1,2017,,,,,,,,
17,Attapue,485,20,1,2017,,,,,,,,
2,Phongsaly,420,21,1,2017,,,,,,,,
3,Louangnamtha,540,21,1,2017,,,,,,,,
4,Oudomxai,500,21,1,2017,,,,,,,,
5,Bokeo,695,21,1,2017,,,,,,,,
6,Louangprabang,1985,21,1,2017,,,,,,,,
7,Houaphan,1310,21,1,2017,,,,,,,,
8,Xayaboury,0,21,1,2017,,,,,,,,
1,Vientiane Capital,220,21,1,2017,,,,,,,,
9,Xiengkhouang,895,21,1,2017,,,,,,,,
10,Vienitiane,0,21,1,2017,,,,,,,,
11,Borlikhamxay,30,21,1,2017,,,,,,,,
12,Khammouane,240,21,1,2017,,,,,,,,
13,Savannakhet,270,21,1,2017,,,,,,,,
18,Xaisomboun,285,21,1,2017,,,,,,,,
14,Saravan,27625,21,1,2017,,,,,,,,
15,Xekong,120,21,1,2017,,,,,,,,
16,Champassak,0,21,1,2017,,,,,,,,
17,Attapue,4665,21,1,2017,,,,,,,,
2,Phongsaly,855,22,1,2017,,,,,,,,
3,Louangnamtha,2785,22,1,2017,,,,,,,,
4,Oudomxai,6355,22,1,2017,,,,,,,,
5,Bokeo,3335,22,1,2017,,,,,,,,
6,Louangprabang,2600,22,1,2017,,,,,,,,
7,Houaphan,290,22,1,2017,,,,,,,,
8,Xayaboury,15,22,1,2017,,,,,,,,
1,Vientiane Capital,345,22,1,2017,,,,,,,,
9,Xiengkhouang,440,22,1,2017,,,,,,,,
10,Vienitiane,645,22,1,2017,,,,,,,,
11,Borlikhamxay,715,22,1,2017,,,,,,,,
12,Khammouane,435,22,1,2017,,,,,,,,
13,Savannakhet,1115,22,1,2017,,,,,,,,
18,Xaisomboun,110,22,1,2017,,,,,,,,
14,Saravan,895,22,1,2017,,,,,,,,
15,Xekong,820,22,1,2017,,,,,,,,
16,Champassak,0,22,1,2017,,,,,,,,
17,Attapue,850,22,1,2017,,,,,,,,
2,Phongsaly,180,23,1,2017,,,,,,,,
3,Louangnamtha,130,23,1,2017,,,,,,,,
4,Oudomxai,0,23,1,2017,,,,,,,,
5,Bokeo,0,23,1,2017,,,,,,,,
6,Louangprabang,570,23,1,2017,,,,,,,,
7,Houaphan,140,23,1,2017,,,,,,,,
8,Xayaboury,175,23,1,2017,,,,,,,,
1,Vientiane Capital,5,23,1,2017,,,,,,,,
